garbage_index,satellite_index,distance
1,159,11721.519249524092
1,160,11549.802761802117
1,161,10852.422984715884
1,162,10319.982113755437
1,163,10678.687426825585
1,164,10476.820042885556
1,165,10339.092688234674
1,166,6110.29905364854
1,167,6194.589420970238
1,168,7481.456900521697
1,169,6818.694452547574
1,170,7085.471749303944
1,171,5841.655334576388
1,172,5587.704133812562
1,173,5547.8251149456255
1,174,6071.345763396405
1,175,5680.127560284156
1,176,5704.539884444512
1,177,8988.824851499496
1,178,7211.8244214534125
1,179,6953.1535248219325
1,180,5249.277270590021
1,181,5557.95380013472
1,182,6867.243791581525
1,183,11263.926711091091
1,184,10005.778944088257
1,185,6811.377888801711
1,186,5535.801475512031
1,187,12569.405941456998
1,188,9388.316173471901
1,189,11334.180723774365
1,190,12604.893830254081
1,191,12118.24598492724
1,192,5121.331039072949
1,193,6994.954051332629
1,194,5177.903880720771
1,195,6314.362777949047
1,196,10416.692488809846
1,197,12164.004239360254
1,198,12216.535721070397
1,199,12430.873085330988
1,200,2661.196410743043
1,201,13447.6936347592
1,202,12205.050355116635
2,0,14436.226395841568
2,1,14488.481989846148
2,2,14472.583026253482
2,3,14375.03404558103
2,4,14203.914016549881
2,5,13640.62469334521
2,6,13786.692117214552
2,7,4553.963717134265
2,8,3805.524415160481
2,9,12450.231106155568
2,10,3734.4920336545442
2,11,10971.291137801296
2,12,12570.172860448507
2,13,10946.170796372313
2,14,11154.35206983933
2,15,12555.036069005364
2,16,13095.509271857542
2,17,12918.475932204463
2,18,11293.078899934993
2,19,11933.59781331672
2,20,12154.74715394202
2,21,11481.12841734183
2,22,10116.806743735971
2,23,9017.530336752574
2,24,13705.463593292774
2,25,7150.838573259044
2,26,4840.226926127339
2,27,1670.0829638038047
2,28,7458.4360856345365
2,29,6691.615840461724
2,30,13719.654589152988
2,31,10190.040700591517
2,32,9748.96640905301
2,33,11473.416394808057
2,34,8213.052635254397
2,35,13406.117478105507
2,36,4823.145334449767
2,37,5978.189531250493
2,38,13038.81166926191
2,39,5170.146274867233
2,40,13809.989162484924
2,41,7950.006748761331
2,42,7964.894840150668
2,43,12542.356662742974
2,44,8864.474154910624
2,45,12511.87006404679
2,46,3480.6458299589344
2,47,11968.79959392457
2,48,8433.664585147413
2,49,12053.930403508968
2,50,12050.519047893933
2,51,10292.386079884483
2,52,2069.385765095636
2,53,10798.803281282533
2,54,3788.439678777093
2,55,10651.774467912963
2,56,11924.012953155887
2,57,12415.044599568859
2,58,11494.045785404214
2,59,12374.83806116218
2,60,12356.68408631973
2,61,12245.821734441743
2,62,10297.028276702074
2,63,12327.467583323081
2,64,12416.105857901264
2,65,12429.8050258416
2,66,12049.421838686467
2,67,12304.599837239994
2,68,12428.275029714461
2,69,12434.263612735593
2,70,9906.03626121074
2,71,10135.897075524863
2,72,12423.185535819133
2,73,12396.495401514449
2,74,12422.489128193867
2,75,12413.158988489473
2,76,12240.362513974282
2,77,12429.79958941899
2,78,12402.93927586842
2,79,12375.176209527037
2,80,12339.021606295457
2,81,8643.459280062663
2,82,10218.631928205823
2,83,10210.994330791169
2,84,10012.002868985135
2,85,9757.001422337227
2,86,9589.915171508253
2,87,9742.91461838671
2,88,9677.314404929799
2,89,9409.547380243945
2,90,9389.775027786363
2,91,9218.78008375216
2,92,9201.891197609611
2,93,9004.822958799472
2,94,9049.108124783996
2,95,8662.767802616787
2,96,9669.847881279456
2,97,9656.209098734891
2,98,9610.319094514865
2,99,9600.885011646775
2,100,8620.40880769543
2,101,8151.8732069898415
2,102,12354.982571879747
2,103,9873.357164584862
2,104,7004.783921510482
2,105,8879.396412269067
2,106,9230.999001312306
2,107,11536.116490223003
2,108,9703.190548202756
2,109,6361.063399008351
2,110,10686.671233883711
2,111,12710.352524721324
2,112,10852.157407786395
2,113,5033.70645789974
2,114,11036.556661724071
2,115,12941.02124639206
2,116,2953.433582967142
2,117,12267.138782090491
2,118,12328.482362475037
2,119,9871.61876964441
2,120,3597.7217214552265
2,121,9010.859661093602
2,122,8495.4652155344
2,123,3731.948238817048
2,124,5730.8598925375845
2,125,13796.822187044228
2,126,10022.845095076858
2,127,10524.079233636447
2,128,10653.389493251047
2,129,10727.99192927666
2,130,10917.19317785847
2,131,10915.423266691967
2,132,10900.9997671305
2,133,10861.030676534408
2,134,10821.160091476222
2,135,10628.385893955161
2,136,10358.521200771225
2,137,9292.383118957452
2,138,10760.478566375263
2,139,10790.79167272417
2,140,10807.625210310362
2,141,10699.316658289807
2,142,10726.3336777092
2,143,10209.79865052531
2,144,9702.182625872822
2,145,10501.794228093357
2,146,10067.967423847062
2,147,10035.859125136505
2,148,10220.291353003271
2,149,10403.180058746235
2,150,10211.063034437711
2,151,10377.139205587462
2,152,10152.76104817471
2,153,10069.482285570388
2,154,10060.025810127212
2,155,9937.06515049879
2,156,10041.392170238527
2,157,9745.328642873876
2,158,9766.694345343512
2,159,9877.282085568344
2,160,9809.874415045915
2,161,9577.50355955511
2,162,9428.255371016274
2,163,9526.802635346588
2,164,9469.832062477948
2,165,9433.568295945699
2,166,8978.59246996515
2,167,8971.077525352639
2,168,8975.255538551359
2,169,8951.216446468292
2,170,8956.800727682405
2,171,9015.176618280348
2,172,9253.618837959215
2,173,9190.957127933285
2,174,8982.47240843075
2,175,9059.245423090317
2,176,9050.284843553974
2,177,7596.332769026761
2,178,13395.541310672246
2,179,10359.216744051191
