OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33 DEB,1997-051JZ,2024-01-22T11:24:53.495424,13.95527317,.0215672,86.4104,196.1102,282.7694,74.9456,0,U,34648,999,75278,.30494E-2,.5046E-4,0
IRIDIUM 33 DEB,1997-051KC,2024-01-22T21:29:51.427968,14.10923251,.0176816,86.2883,70.5884,236.0500,122.3769,0,U,34651,999,76114,.34054E-2,.7089E-4,0
IRIDIUM 33 DEB,1997-051KD,2024-01-23T00:04:47.154720,14.52027183,.0036053,86.3349,284.4576,104.8692,314.6387,0,U,34652,999,78592,.11484E-2,.4701E-4,0
IRIDIUM 33 DEB,1997-051KM,2024-01-22T21:52:07.415616,14.47957228,.0009664,86.3852,335.0360,152.7198,269.4958,0,U,34690,999,78085,.19367E-2,.7208E-4,0
IRIDIUM 33 DEB,1997-051KQ,2024-01-22T16:41:28.246848,14.67196233,.0020337,86.3322,265.0851,321.8491,92.6507,0,U,34693,999,78644,.2381E-2,.13473E-3,0
IRIDIUM 33 DEB,1997-051KT,2024-01-22T08:15:53.103168,14.28390000,.0118068,86.2049,337.5894,297.1301,217.1546,0,U,34696,999,76703,.80943E-2,.21863E-3,0
IRIDIUM 33 DEB,1997-051KZ,2024-01-22T13:30:32.900256,14.76043413,.0032625,86.3037,223.1030,163.1670,197.0640,0,U,34702,999,79141,.25697E-2,.17912E-3,0
IRIDIUM 33 DEB,1997-051LJ,2024-01-21T20:04:18.255360,14.36909542,.0016562,86.3427,328.3001,337.0701,51.7123,0,U,34765,999,77679,.92388E-3,.2755E-4,0
IRIDIUM 33 DEB,1997-051LS,2024-01-22T20:11:43.137600,14.80837674,.0005711,86.4014,325.6280,247.8631,112.1984,0,U,34773,999,78822,.62119E-2,.48241E-3,0
IRIDIUM 33 DEB,1997-051LT,2024-01-22T19:54:56.179296,14.98896525,.0014113,86.3997,316.3109,108.9606,304.9094,0,U,34774,999,79137,.73372E-2,.89842E-3,0
IRIDIUM 33 DEB,1997-051LU,2024-01-22T08:53:49.464096,14.57618829,.002815,86.3794,334.8065,145.5174,342.9911,0,U,34775,999,78134,.35622E-2,.16359E-3,0
IRIDIUM 33 DEB,1997-051LZ,2024-01-22T18:21:59.042016,14.85447676,.0003909,86.3595,298.4318,282.1122,141.2032,0,U,34825,999,78487,.63309E-2,.54972E-3,0
IRIDIUM 33 DEB,1997-051MH,2024-01-23T02:11:54.678912,14.44628020,.0019231,86.3986,346.2374,234.4454,257.7448,0,U,34833,999,77738,.13737E-2,.4784E-4,0
